reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
r021,UserU,The brokerage charges are transparent and clearly displayed before placing orders. Nice.,4,6,4.5.2,2026-02-14 08:45:00,,
r022,UserV,Drag and drop stop loss on chart would be amazing. Currently have to enter price manually.,3,9,4.5.3,2026-02-15 15:00:00,,
r023,UserW,Imported all my external mutual funds easily. Great consolidation feature.,5,4,4.5.3,2026-02-16 11:30:00,,
r024,UserX,App does not support GTT orders for all stocks. Please expand GTT availability.,3,8,4.5.3,2026-02-17 09:00:00,,
r025,UserY,Funds take too long to settle after selling stocks. T+1 settlement should be faster.,2,16,4.5.3,2026-02-18 14:00:00,,
r026,UserZ,The dark mode is really well done. Easy on the eyes during long trading sessions.,5,3,4.5.3,2026-02-19 10:15:00,,
r027,UserAA,Tried to contact support via email but no response for 5 days. Contact info support@groww.in did not help.,1,19,4.5.3,2026-02-20 16:45:00,,
r028,UserBB,Basket order feature for options is a game changer. Can place multiple legs at once.,5,7,4.5.3,2026-02-21 09:30:00,,
r029,UserCC,Mutual fund NAV update is delayed. Shows yesterday NAV even in the afternoon.,3,10,4.5.4,2026-02-22 13:00:00,,
r030,UserDD,Account opening was done in 10 minutes. Fastest demat account opening experience.,5,5,4.5.4,2026-02-23 11:00:00,,
r031,UserEE,The app hangs when scrolling through watchlist with many stocks added.,2,12,4.5.4,2026-02-24 08:30:00,,
r032,UserFF,F&O margin calculator is accurate and helps plan trades better.,4,4,4.5.4,2026-02-25 15:30:00,,
r033,UserGG,Withdrawal failed twice and money was stuck for a week. Very concerning.,1,21,4.5.4,2026-02-26 09:45:00,,
r034,UserHH,The stock screener filters are very comprehensive. Found great picks using it.,5,6,4.5.4,2026-02-27 12:15:00,,
r035,UserII,Please add bracket orders for intraday trading. OCO alone is not sufficient.,3,11,4.5.4,2026-02-28 10:00:00,,
r036,UserJJ,Notifications for price alerts are delayed by several minutes. Makes them pointless.,2,14,4.5.5,2026-03-01 09:00:00,,
r037,UserKK,Excellent app for long term mutual fund investors. SIP tracking is top notch.,5,3,4.5.5,2026-03-02 14:00:00,,
r038,UserLL,The app shows wrong P&L sometimes. My actual profit was different from what was displayed.,2,16,4.5.5,2026-03-03 11:30:00,,
r039,UserMM,Love the instant pledge feature for F&O. Can use my stock holdings as margin immediately.,5,8,4.5.5,2026-03-04 09:15:00,,
r040,UserNN,Customer support phone number +919108800000 is always busy. Cannot get through to anyone.,1,18,4.5.5,2026-03-05 16:00:00,,
r041,UserOO,The learn section with articles and videos is very educational for new investors.,4,5,4.5.5,2026-03-06 10:30:00,,
r042,UserPP,Order execution is lightning fast. Trades go through in milliseconds.,5,4,4.5.5,2026-03-07 09:00:00,,
r043,UserQQ,App crashed 3 times today during market hours. Lost potential profits because of this.,1,23,4.5.6,2026-03-08 09:45:00,,
r044,UserRR,Tax P&L statement download feature is very useful during ITR filing season.,4,6,4.5.6,2026-03-09 12:00:00,,
r045,UserSS,Switched from another broker. Groww UX is miles ahead. Clean and intuitive.,5,7,4.5.6,2026-03-10 14:30:00,,
r046,UserTT,Please add a proper paper trading or simulator mode for beginners to practice.,3,9,4.5.6,2026-03-11 11:00:00,,
r047,UserUU,Money withdrawn on Monday still not received on Thursday. Contacted support and they said wait more. My phone is 8765432109.,1,20,4.5.6,2026-03-12 15:00:00,,
r048,UserVV,Real time market data is accurate. No discrepancy with exchange data.,4,3,4.5.6,2026-03-13 09:30:00,,
r049,UserWW,Would love to see a desktop trading platform in addition to the mobile app.,3,8,4.5.6,2026-03-14 10:00:00,,
r050,UserXX,Overall great app. Small bugs here and there but the team keeps improving. Keep it up.,4,5,4.5.6,2026-03-15 13:00:00,,
